KEY;GERMAN;ENGLISH;FRENCH;AUSTRIAN;SPANISH
teams-not-allowed;Teams sind auf diesem Server VERBOTEN und werden mit einem Ban bestraft!;Teams are FORBIDDEN in this game and will be punished with a ban!;Les équipes sont INTERDITES dans cette partie et seront punis avec un bannissement !;Teams san auf dem Server VABOTN und wean mit an Ban bestroft!;Hacer "teaming" está PROHIBIDO en este minijuego, ¡y será castigado con un baneo!
language-change;Deine Sprache ist nun (Deutsch \(Deutschland\));Your language is now (English \(United States\));Ta langue est maintenant (français \(France\));Dei Sproch is jetz (Deutsch \(Österreich\));Se ha seleccionado (español \(España\)) como idioma
player-died;Du bist (gestorben);You (died);Tu es (mort);Du bist (gstorbn);Has (muerto)
killed-by;Du wurdest von \W*(\w+) get.?tet.*;You were killed by \W*(\w+).*;Tu as été tué par \W*(\w+).*;Du bist von \W*(\w+) getötet wordn.*;Has sido asesinado por \W*(\w+).*
killed;Du hast (deinen Nemesisgegner \()?\W*(\w+)\)? get.?tet.*;You have killed (your nemesis opponent \()?\W*(\w+)\)?.*;Tu as tué (ta némésis \()?\W*(\w+)\)?.*;Du h[ao]st (deinen Nemesisgegner \()?\W*(\w+)\)? get.?tet.*;Has matado a (tu némesis \()?\W*(\w+)\)?.*
killstreak;^(\d) Kills in Folge!;x;x;x;x
item-mine;Du hast eine (Landmine) erhalten;You have received a (land mine);Tu as reçu une (mine terrestre);Du host a (Londmine) kregt;Has recibido una (mina terrestre)
item-speed;Deine (Geschwindigkeit) wurde für 20 Sekunden stark erh.?ht;Your (speed) was drastically increased for 20 seconds;Ta (rapidité) a été nettement augmentée pendant 20 secondes;Dei (Gschwindigkeit) is fia 20 Sekundn stork erh.?ht wordn;Tu (velocidad) ha aumentado enormemente durante 20 segundos
item-dogs;Eine (Hundestaffel) unterst.?tzt dich nun im Kampf;A (group of dogs) will now support you in battle;Une (brigade canine) t'aide maintenant dans le combat;A (Hundestoffl) untast.?tzt di jetz im Kompf;Ahora, un (grupo de perros) te apoyará en tus batallas
item-quickfire;Dein RageBow schießt 12 Sekunden lang im (Sturmfeuer);Your RageBow will now (quick-fire) for 12 seconds;Ton RageBow tire pendant 12 secondes en mode (tir rapide);Dei RageBow schiaßt 12 Sekundn long im (Sturmfeia);Ahora tu arco de la furia podrá hacer (disparos muy veloces) durante 12 segundos
item-armor;Du hast eine (Eisenr.?stung) erhalten;You have received an (Iron Armor);Tu as reçu une (Armure en fer);Du hast eine (Eisenr.?stung) erhalten;Has recibido una (Armadura de hierro)
item-angel;Du kannst 18 Sekunden lang (fliegen);You can (fly) for 18 seconds;Tu peux (voler) pendant 18 secondes;Du konnst 18 Sekundn long (fliagn);Podrás (volar) durante 18 segundos
item-nuke;Du hast eine (Bombe) verheerenden Ausmaßes gez.?ndet;You have ignited a devastating (bomb);Tu as déclenché une (bombe) aux proportions dévastatrices;Du host a riesen (Bombn) gezundn;Has colocado una (bomba) devastadora
joinme;\[JoinMe\] (\w+) spielt nun FFARAGEMODE\. \[Klicke hier\], um mitzuspielen;\[JoinMe\] (\w+) is currently playing FFARAGEMODE. \[Click here\] to join;\[JoinMe\] (\w+) est en train de jouer FFARAGEMODE. \[Clique ici\] pour rejoindre;\[JoinMe\] (\w+) spüt jetz FFARAGEMODE, \[Klick hia\], um mitzuspün;\[JoinMe\] (\w+) está jugando a FFARAGEMODE. \[Haz clic aquí\] para unirte
